Expression: ^\d+::([\w\s:,\.\(\)'\-\/!&ÁÉÍÓÚáéíóúäëïöü]+)\s(\(\d\d\d\d\))::.*$
{title: Things to Do in Denver When You're Dead, year: (1995)}
{title: Antonia's Line (Antonia), year: (1995)}
{title: Once Upon a Time... When We Were Colored, year: (1995)}
{title: Last Summer in the Hamptons, year: (1995)}
{title: Angels and Insects, year: (1995)}
{title: White Squall, year: (1996)}
{title: Dunston Checks In, year: (1996)}
{title: Black Sheep, year: (1996)}
{title: Nick of Time, year: (1995)}
{title: Journey of August King, The, year: (1995)}
{title: Mary Reilly, year: (1996)}
{title: Vampire in Brooklyn, year: (1995)}
{title: Beautiful Girls, year: (1996)}
{title: Broken Arrow, year: (1996)}
{title: In the Bleak Midwinter, year: (1995)}
{title: Hate (Haine, La), year: (1995)}
{title: Shopping, year: (1994)}
{title: Heidi Fleiss: Hollywood Madam, year: (1995)}
{title: City Hall, year: (1996)}
{title: Bottle Rocket, year: (1996)}
{title: Mr. Wrong, year: (1996)}
{title: Unforgettable, year: (1996)}
{title: Happy Gilmore, year: (1996)}
{title: Bridges of Madison County, The, year: (1995)}
{title: Nobody Loves Me (Keiner liebt mich), year: (1994)}
{title: Muppet Treasure Island, year: (1996)}
{title: Catwalk, year: (1996)}
{title: Headless Body in Topless Bar, year: (1995)}
{title: Braveheart, year: (1995)}
{title: Taxi Driver, year: (1976)}
{title: Rumble in the Bronx (Hont faan kui), year: (1995)}
{title: Before and After, year: (1996)}
{title: Margaret's Museum, year: (1995)}
{title: Happiness Is in the Field (Bonheur est dans le pré, Le), year: (1995)}
{title: Anne Frank Remembered, year: (1995)}
{title: Young Poisoner's Handbook, The, year: (1995)}
{title: If Lucy Fell, year: (1996)}
{title: Steal Big, Steal Little, year: (1995)}
{title: Race the Sun, year: (1996)}
{title: Boys of St. Vincent, The, year: (1992)}
{title: Boomerang, year: (1992)}
123::Chungking Express (Chóngqìng Senlín) (1994)::Drama|Mystery|Romance
{title: Star Maker, The (L'Uomo delle stelle), year: (1995)}
{title: Flirting With Disaster, year: (1996)}
{title: NeverEnding Story III, The, year: (1994)}
{title: Silence of the Palace, The (Saimt el Qusur), year: (1994)}
{title: Jupiter's Wife, year: (1994)}
{title: Pie in the Sky, year: (1996)}
{title: Angela, year: (1995)}
{title: Frankie Starlight, year: (1995)}
{title: Jade, year: (1995)}
{title: Nueba Yol, year: (1995)}
{title: Sonic Outlaws, year: (1995)}
{title: Down Periscope, year: (1996)}
{title: From the Journals of Jean Seberg, year: (1995)}
{title: Man of the Year, year: (1995)}
{title: Neon Bible, The, year: (1995)}
{title: Target, year: (1995)}
{title: Up Close and Personal, year: (1996)}
{title: Birdcage, The, year: (1996)}
{title: Shadows (Cienie), year: (1988)}
{title: Gospa, year: (1995)}
{title: Brothers McMullen, The, year: (1995)}
{title: Bad Boys, year: (1995)}
{title: Amazing Panda Adventure, The, year: (1995)}
{title: Basketball Diaries, The, year: (1995)}
{title: Awfully Big Adventure, An, year: (1995)}
{title: Amateur, year: (1994)}
{title: Apollo 13, year: (1995)}
{title: Rob Roy, year: (1995)}
{title: Addiction, The, year: (1995)}
{title: Batman Forever, year: (1995)}
{title: Belle de jour, year: (1967)}
{title: Beyond Rangoon, year: (1995)}
{title: Blue in the Face, year: (1995)}
{title: Canadian Bacon, year: (1995)}
{title: Casper, year: (1995)}
{title: Clockers, year: (1995)}
{title: Congo, year: (1995)}
{title: Crimson Tide, year: (1995)}
{title: Crumb, year: (1994)}
{title: Desperado, year: (1995)}
{title: Devil in a Blue Dress, year: (1995)}
{title: Die Hard: With a Vengeance, year: (1995)}
{title: Doom Generation, The, year: (1995)}
{title: Feast of July, year: (1995)}
{title: First Knight, year: (1995)}
{title: Free Willy 2: The Adventure Home, year: (1995)}
{title: Hackers, year: (1995)}
{title: Jeffrey, year: (1995)}
{title: Johnny Mnemonic, year: (1995)}
{title: Judge Dredd, year: (1995)}
{title: Jury Duty, year: (1995)}
{title: Kids, year: (1995)}
{title: Living in Oblivion, year: (1995)}
{title: Lord of Illusions, year: (1995)}
{title: Love & Human Remains, year: (1993)}
{title: Mad Love, year: (1995)}
{title: Mallrats, year: (1995)}
{title: Mighty Morphin Power Rangers: The Movie, year: (1995)}
{title: Moonlight and Valentino, year: (1995)}
{title: Mute Witness, year: (1994)}
{title: Nadja, year: (1994)}
{title: Net, The, year: (1995)}
{title: Nine Months, year: (1995)}
{title: Party Girl, year: (1995)}
{title: Prophecy, The, year: (1995)}
{title: Reckless, year: (1995)}
{title: Safe, year: (1995)}
{title: Scarlet Letter, The, year: (1995)}
{title: Show, The, year: (1995)}
{title: Showgirls, year: (1995)}
{title: Smoke, year: (1995)}
{title: Something to Talk About, year: (1995)}
{title: Species, year: (1995)}
{title: Stars Fell on Henrietta, The, year: (1995)}
{title: Strange Days, year: (1995)}
{title: Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les), year: (1964)}
{title: Tie That Binds, The, year: (1995)}
{title: Three Wishes, year: (1995)}
{title: Total Eclipse, year: (1995)}
{title: To Wong Foo, Thanks for Everything! Julie Newmar, year: (1995)}
{title: Under Siege 2: Dark Territory, year: (1995)}
{title: Unstrung Heroes, year: (1995)}
{title: Unzipped, year: (1995)}
{title: Walk in the Clouds, A, year: (1995)}
{title: Waterworld, year: (1995)}
{title: White Man's Burden, year: (1995)}
{title: Wild Bill, year: (1995)}
{title: Browning Version, The, year: (1994)}
{title: Bushwhacked, year: (1995)}
{title: Burnt by the Sun (Utomlyonnye solntsem), year: (1994)}
{title: Before the Rain (Pred dozhdot), year: (1994)}
{title: Before Sunrise, year: (1995)}
{title: Billy Madison, year: (1995)}
{title: Babysitter, The, year: (1995)}
{title: Boys on the Side, year: (1995)}
{title: Cure, The, year: (1995)}
{title: Castle Freak, year: (1995)}
{title: Circle of Friends, year: (1995)}
{title: Clerks, year: (1994)}
{title: Don Juan DeMarco, year: (1995)}
{title: Disclosure, year: (1994)}
{title: Dream Man, year: (1995)}
{title: Drop Zone, year: (1994)}
{title: Destiny Turns on the Radio, year: (1995)}
{title: Death and the Maiden, year: (1994)}
{title: Dolores Claiborne, year: (1995)}
{title: Dumb & Dumber, year: (1994)}
{title: Eat Drink Man Woman (Yin shi nan nu), year: (1994)}
{title: Exotica, year: (1994)}
{title: Exit to Eden, year: (1994)}
{title: Ed Wood, year: (1994)}
{title: French Kiss, year: (1995)}
{title: Forget Paris, year: (1995)}
{title: Far From Home: The Adventures of Yellow Dog, year: (1995)}
{title: Goofy Movie, A, year: (1995)}
{title: Hideaway, year: (1995)}
{title: Fluke, year: (1995)}
{title: Farinelli: il castrato, year: (1994)}
{title: Gordy, year: (1995)}
{title: Gumby: The Movie, year: (1995)}
{title: Glass Shield, The, year: (1994)}
{title: Hoop Dreams, year: (1994)}
{title: Heavenly Creatures, year: (1994)}
{title: Houseguest, year: (1994)}
{title: Immortal Beloved, year: (1994)}
{title: Heavyweights (a.k.a. Heavy Weights), year: (1995)}
{title: Hunted, The, year: (1995)}
{title: I.Q., year: (1994)}
{title: Interview with the Vampire: The Vampire Chronicles, year: (1994)}
{title: Jefferson in Paris, year: (1995)}
{title: Jerky Boys, The, year: (1994)}
{title: Junior, year: (1994)}
{title: Just Cause, year: (1995)}
{title: Kid in King Arthur's Court, A, year: (1995)}
{title: Kiss of Death, year: (1995)}
{title: Star Wars: Episode IV - A New Hope (a.k.a. Star Wars), year: (1977)}
{title: Little Women, year: (1994)}
{title: Little Princess, A, year: (1995)}
{title: Ladybird Ladybird, year: (1994)}
{title: Enfer, L', year: (1994)}
{title: Like Water for Chocolate (Como agua para chocolate), year: (1992)}
{title: Legends of the Fall, year: (1994)}
{title: Major Payne, year: (1995)}
{title: Little Odessa, year: (1994)}
{title: My Crazy Life (Mi vida loca), year: (1993)}
{title: Love Affair, year: (1994)}
{title: Losing Isaiah, year: (1995)}
{title: Madness of King George, The, year: (1994)}
{title: Frankenstein (Mary Shelley's Frankenstein), year: (1994)}
{title: Man of the House, year: (1995)}
{title: Mixed Nuts, year: (1994)}
{title: Milk Money, year: (1994)}
{title: Miracle on 34th Street, year: (1994)}
{title: Miami Rhapsody, year: (1995)}
{title: My Family, year: (1995)}
{title: Murder in the First, year: (1995)}
{title: Nobody's Fool, year: (1994)}
{title: Nell, year: (1994)}
{title: New Jersey Drive, year: (1995)}
284::New York Cop (Nyû Yôku no koppu) (1993)::Action|Crime
{title: Beyond Bedlam, year: (1993)}
{title: Nemesis 2: Nebula, year: (1995)}
{title: Nina Takes a Lover, year: (1994)}
{title: Natural Born Killers, year: (1994)}
{title: Only You, year: (1994)}
{title: Once Were Warriors, year: (1994)}
{title: Poison Ivy II, year: (1996)}
{title: Outbreak, year: (1995)}
{title: Léon: The Professional (Léon) (Professional, The), year: (1994)}
{title: Perez Family, The, year: (1995)}
{title: Pyromaniac's Love Story, A, year: (1995)}
{title: Pulp Fiction, year: (1994)}
{title: Panther, year: (1995)}
{title: Pushing Hands (Tui shou), year: (1992)}
{title: Priest, year: (1994)}
{title: Quiz Show, year: (1994)}
{title: Picture Bride (Bijo photo), year: (1994)}
{title: Queen Margot (La Reine Margot), year: (1994)}
{title: Quick and the Dead, The, year: (1995)}
{title: Roommates, year: (1995)}
{title: Ready to Wear (Pret-A-Porter), year: (1994)}
{title: Three Colors: Red (Trois couleurs: Rouge), year: (1994)}
{title: Three Colors: Blue (Trois couleurs: Bleu), year: (1993)}
{title: Three Colors: White (Trois couleurs: Blanc), year: (1994)}
{title: Red Firecracker, Green Firecracker (Pao Da Shuang Deng), year: (1994)}
{title: Rent-a-Kid, year: (1995)}
{title: Relative Fear, year: (1994)}
{title: Stuart Saves His Family, year: (1995)}
{title: Swan Princess, The, year: (1994)}
{title: Secret of Roan Inish, The, year: (1994)}
{title: Specialist, The, year: (1994)}
{title: Stargate, year: (1994)}
{title: Santa Clause, The, year: (1994)}
{title: Shawshank Redemption, The, year: (1994)}
{title: Shallow Grave, year: (1994)}
{title: Suture, year: (1993)}
{title: Strawberry and Chocolate (Fresa y chocolate), year: (1993)}
{title: Swimming with Sharks, year: (1995)}
{title: Sum of Us, The, year: (1994)}
{title: National Lampoon's Senior Trip, year: (1995)}
{title: To Live (Huozhe), year: (1994)}
{title: Tank Girl, year: (1995)}
{title: Tales from the Crypt Presents: Demon Knight, year: (1995)}
{title: Star Trek: Generations, year: (1994)}
{title: Tales from the Hood, year: (1995)}
{title: Tom & Viv, year: (1994)}
{title: Village of the Damned, year: (1995)}
{title: Tommy Boy, year: (1995)}
{title: Vanya on 42nd Street, year: (1994)}
{title: Underneath, year: (1995)}
{title: Walking Dead, The, year: (1995)}
{title: What's Eating Gilbert Grape, year: (1993)}
{title: Virtuosity, year: (1995)}
{title: While You Were Sleeping, year: (1995)}
{title: War, The, year: (1994)}
{title: Double Happiness, year: (1994)}
{title: Muriel's Wedding, year: (1994)}
{title: Baby-Sitters Club, The, year: (1995)}
{title: Ace Ventura: Pet Detective, year: (1994)}
{title: Adventures of Priscilla, Queen of the Desert, The, year: (1994)}
{title: Backbeat, year: (1993)}
{title: Bitter Moon, year: (1992)}
{title: Bullets Over Broadway, year: (1994)}
{title: Clear and Present Danger, year: (1994)}
{title: Client, The, year: (1994)}
{title: Corrina, Corrina, year: (1994)}
{title: Crooklyn, year: (1994)}
{title: Crow, The, year: (1994)}
{title: Cobb, year: (1994)}
{title: Flintstones, The, year: (1994)}
{title: Forrest Gump, year: (1994)}
{title: Four Weddings and a Funeral, year: (1994)}
{title: Higher Learning, year: (1995)}
{title: I Like It Like That, year: (1994)}
{title: I Love Trouble, year: (1994)}
{title: It Could Happen to You, year: (1994)}
{title: Jungle Book, The, year: (1994)}
{title: Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die), year: (1993)}
{title: Lion King, The, year: (1994)}
{title: Little Buddha, year: (1993)}
{title: Wes Craven's New Nightmare, year: (1994)}
{title: Mask, The, year: (1994)}
{title: Maverick, year: (1994)}
{title: Mrs. Parker and the Vicious Circle, year: (1994)}
{title: Naked Gun 33 1/3: The Final Insult, year: (1994)}
{title: Paper, The, year: (1994)}
{title: Reality Bites, year: (1994)}
{title: Red Rock West, year: (1992)}
{title: Richie Rich, year: (1994)}
{title: Safe Passage, year: (1994)}
{title: River Wild, The, year: (1994)}
{title: Speed, year: (1994)}
{title: Speechless, year: (1994)}
{title: Timecop, year: (1994)}
{title: True Lies, year: (1994)}
{title: When a Man Loves a Woman, year: (1994)}
{title: Wolf, year: (1994)}
{title: Wyatt Earp, year: (1994)}
{title: Bad Company, year: (1995)}
{title: Man of No Importance, A, year: (1994)}
{title: S.F.W., year: (1994)}
{title: Low Down Dirty Shame, A, year: (1994)}
{title: Boys Life, year: (1995)}
{title: Colonel Chabert, Le, year: (1994)}
{title: Faster Pussycat! Kill! Kill!, year: (1965)}
{title: Jason's Lyric, year: (1994)}
{title: Secret Adventures of Tom Thumb, The, year: (1993)}
{title: Street Fighter, year: (1994)}
{title: Coldblooded, year: (1995)}
{title: Desert Winds, year: (1995)}
{title: Fall Time, year: (1995)}
{title: Fear, The, year: (1995)}
{title: Frank and Ollie, year: (1995)}
{title: Girl in the Cadillac, year: (1995)}
{title: Homage, year: (1995)}
{title: Mirage, year: (1995)}
{title: Open Season, year: (1996)}
{title: Two Crimes (Dos crímenes), year: (1995)}
{title: Brother Minister: The Assassination of Malcolm X, year: (1994)}
{title: Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension), year: (1994)}
{title: Federal Hill, year: (1994)}
{title: In the Mouth of Madness, year: (1995)}
{title: 8 Seconds, year: (1994)}
{title: Above the Rim, year: (1994)}
{title: Addams Family Values, year: (1993)}
{title: You So Crazy, year: (1994)}
{title: Age of Innocence, The, year: (1993)}
{title: Airheads, year: (1994)}
{title: Air Up There, The, year: (1994)}
{title: Another Stakeout, year: (1993)}
{title: Bad Girls, year: (1994)}
{title: Barcelona, year: (1994)}
{title: Being Human, year: (1993)}
{title: Beverly Hillbillies, The, year: (1993)}
{title: Beverly Hills Cop III, year: (1994)}
{title: Black Beauty, year: (1994)}
{title: Blink, year: (1994)}
{title: Blown Away, year: (1994)}
{title: Blue Chips, year: (1994)}
{title: Blue Sky, year: (1994)}
{title: Body Snatchers, year: (1993)}
{title: Boxing Helena, year: (1993)}
{title: Bronx Tale, A, year: (1993)}
{title: Cabin Boy, year: (1994)}
{title: Calendar Girl, year: (1993)}
{title: Carlito's Way, year: (1993)}
{title: City Slickers II: The Legend of Curly's Gold, year: (1994)}
{title: Clean Slate, year: (1994)}
{title: Cliffhanger, year: (1993)}
{title: Coneheads, year: (1993)}
{title: Color of Night, year: (1994)}
{title: Cops and Robbersons, year: (1994)}
{title: Cowboy Way, The, year: (1994)}
{title: Dangerous Game, year: (1993)}
{title: Dave, year: (1993)}
{title: Dazed and Confused, year: (1993)}
{title: Demolition Man, year: (1993)}
{title: Endless Summer 2, The, year: (1994)}
{title: Even Cowgirls Get the Blues, year: (1993)}
{title: Fatal Instinct, year: (1993)}
{title: Farewell My Concubine (Ba wang bie ji), year: (1993)}
{title: Favor, The, year: (1994)}
{title: Fearless, year: (1993)}
{title: Fear of a Black Hat, year: (1994)}
{title: With Honors, year: (1994)}
{title: Flesh and Bone, year: (1993)}
{title: Widows' Peak, year: (1994)}
{title: For Love or Money, year: (1993)}
{title: Firm, The, year: (1993)}
{title: Free Willy, year: (1993)}
{title: Fresh, year: (1994)}
{title: Fugitive, The, year: (1993)}
{title: Geronimo: An American Legend, year: (1993)}
{title: Getaway, The, year: (1994)}
{title: Getting Even with Dad, year: (1994)}
{title: Go Fish, year: (1994)}
{title: Good Man in Africa, A, year: (1994)}
{title: Guilty as Sin, year: (1993)}
{title: Hard Target, year: (1993)}
{title: Heaven & Earth, year: (1993)}
{title: Hot Shots! Part Deux, year: (1993)}
{title: Live Nude Girls, year: (1995)}
{title: Englishman Who Went Up a Hill But Came Down a Mountain, The, year: (1995)}
{title: House of the Spirits, The, year: (1993)}
{title: House Party 3, year: (1994)}
{title: Hudsucker Proxy, The, year: (1994)}
{title: I'll Do Anything, year: (1994)}
{title: In the Army Now, year: (1994)}
{title: In the Line of Fire, year: (1993)}
{title: In the Name of the Father, year: (1993)}
{title: Inkwell, The, year: (1994)}
477::What's Love Got to Do with It? (1993)::Drama|Musical
{title: Jimmy Hollywood, year: (1994)}
{title: Judgment Night, year: (1993)}
{title: Jurassic Park, year: (1993)}
{title: Kalifornia, year: (1993)}
{title: Killing Zoe, year: (1994)}
{title: King of the Hill, year: (1993)}
{title: Lassie, year: (1994)}
{title: Last Action Hero, year: (1993)}
{title: Life with Mikey, year: (1993)}
{title: Lightning Jack, year: (1994)}
{title: M. Butterfly, year: (1993)}
{title: Made in America, year: (1993)}
{title: Malice, year: (1993)}
{title: Man Without a Face, The, year: (1993)}
{title: Manhattan Murder Mystery, year: (1993)}
{title: Menace II Society, year: (1993)}
{title: Executive Decision, year: (1996)}
{title: In the Realm of the Senses (Ai no corrida), year: (1976)}
{title: What Happened Was..., year: (1994)}
{title: Much Ado About Nothing, year: (1993)}
{title: Mr. Jones, year: (1993)}
{title: Mr. Wonderful, year: (1993)}
{title: Mrs. Doubtfire, year: (1993)}
{title: Naked, year: (1993)}
{title: Next Karate Kid, The, year: (1994)}
{title: New Age, The, year: (1994)}
{title: No Escape, year: (1994)}
{title: North, year: (1994)}
{title: Orlando, year: (1992)}
{title: Perfect World, A, year: (1993)}
{title: Philadelphia, year: (1993)}
{title: Piano, The, year: (1993)}
{title: Poetic Justice, year: (1993)}
{title: Program, The, year: (1993)}
{title: Puppet Masters, The, year: (1994)}
{title: Radioland Murders, year: (1994)}
{title: Ref, The, year: (1994)}
{title: Remains of the Day, The, year: (1993)}
{title: Renaissance Man, year: (1994)}
{title: Rising Sun, year: (1993)}
{title: Road to Wellville, The, year: (1994)}
{title: RoboCop 3, year: (1993)}
{title: Robin Hood: Men in Tights, year: (1993)}
{title: Romeo Is Bleeding, year: (1993)}
{title: Romper Stomper, year: (1992)}
{title: Ruby in Paradise, year: (1993)}
{title: Rudy, year: (1993)}
{title: Saint of Fort Washington, The, year: (1993)}
{title: Savage Nights (Nuits fauves, Les), year: (1992)}
{title: Schindler's List, year: (1993)}
{title: Scout, The, year: (1994)}
{title: Searching for Bobby Fischer, year: (1993)}
{title: Second Best, year: (1994)}
{title: Secret Garden, The, year: (1993)}
{title: Serial Mom, year: (1994)}
{title: Shadow, The, year: (1994)}
{title: Shadowlands, year: (1993)}
{title: Short Cuts, year: (1993)}
{title: Simple Twist of Fate, A, year: (1994)}
{title: Sirens, year: (1994)}
{title: Six Degrees of Separation, year: (1993)}
{title: Sleepless in Seattle, year: (1993)}
{title: Sliver, year: (1993)}
{title: Blade Runner, year: (1982)}
{title: Son in Law, year: (1993)}
{title: So I Married an Axe Murderer, year: (1993)}
{title: Striking Distance, year: (1993)}
{title: Harem, year: (1985)}
{title: Super Mario Bros., year: (1993)}
{title: Surviving the Game, year: (1994)}
{title: Terminal Velocity, year: (1994)}
{title: Thirty-Two Short Films About Glenn Gould, year: (1993)}
{title: Threesome, year: (1994)}
{title: Nightmare Before Christmas, The, year: (1993)}
{title: Three Musketeers, The, year: (1993)}
{title: Tombstone, year: (1993)}
{title: Trial by Jury, year: (1994)}
{title: True Romance, year: (1993)}
{title: War Room, The, year: (1993)}
{title: Pagemaster, The, year: (1994)}
{title: Paris, France, year: (1993)}
{title: Beans of Egypt, Maine, The, year: (1994)}
{title: Killer (a.k.a. Bulletproof Heart), year: (1994)}
{title: Welcome to the Dollhouse, year: (1995)}
{title: Germinal, year: (1993)}
{title: Chasers, year: (1994)}
{title: Cronos, year: (1993)}
{title: Naked in New York, year: (1994)}
{title: Kika, year: (1993)}
{title: Bhaji on the Beach, year: (1993)}
{title: Little Big League, year: (1994)}
570::Slingshot, The (Kådisbellan) (1993)::Comedy|Drama
{title: Wedding Gift, The, year: (1994)}
{title: Foreign Student, year: (1994)}
{title: Ciao, Professore! (Io speriamo che me la cavo), year: (1992)}
{title: Spanking the Monkey, year: (1994)}
{title: Little Rascals, The, year: (1994)}
{title: Fausto, year: (1993)}
{title: Andre, year: (1994)}
{title: Escort, The (Scorta, La), year: (1993)}
{title: Princess Caraboo, year: (1994)}
{title: Celluloid Closet, The, year: (1995)}
{title: Métisse (Café au Lait), year: (1993)}
{title: Dear Diary (Caro Diario), year: (1994)}
{title: I Don't Want to Talk About It (De eso no se habla), year: (1993)}
{title: Brady Bunch Movie, The, year: (1995)}
{title: Home Alone, year: (1990)}
{title: Ghost, year: (1990)}
{title: Aladdin, year: (1992)}
{title: Terminator 2: Judgment Day, year: (1991)}
{title: Dances with Wolves, year: (1990)}
{title: Tough and Deadly, year: (1995)}
{title: Batman, year: (1989)}
{title: Silence of the Lambs, The, year: (1991)}
{title: Snow White and the Seven Dwarfs, year: (1937)}
{title: Beauty and the Beast, year: (1991)}
{title: Pinocchio, year: (1940)}
{title: Pretty Woman, year: (1990)}
{title: Window to Paris (Okno v Parizh), year: (1994)}
{title: Wild Bunch, The, year: (1969)}
{title: Love and a .45, year: (1994)}
{title: Wooden Man's Bride, The (Yan shen), year: (1994)}
{title: Great Day in Harlem, A, year: (1994)}
{title: Bye Bye, Love, year: (1995)}
{title: Criminals, year: (1996)}
{title: One Fine Day, year: (1996)}
{title: Candyman: Farewell to the Flesh, year: (1995)}
{title: Century, year: (1993)}
{title: Fargo, year: (1996)}
{title: Homeward Bound II: Lost in San Francisco, year: (1996)}
{title: Heavy Metal, year: (1981)}
{title: Hellraiser: Bloodline, year: (1996)}
{title: Pallbearer, The, year: (1996)}
{title: Jane Eyre, year: (1996)}
{title: Loaded, year: (1994)}
{title: Bread and Chocolate (Pane e cioccolata), year: (1973)}
{title: Aristocats, The, year: (1970)}
{title: Flower of My Secret, The (La Flor de Mi Secreto), year: (1995)}
{title: Two Much, year: (1995)}
{title: Ed, year: (1996)}
{title: Scream of Stone (Cerro Torre: Schrei aus Stein), year: (1991)}
{title: My Favorite Season, year: (1993)}
{title: Modern Affair, A, year: (1995)}
{title: Condition Red, year: (1995)}
{title: Asfour Stah, year: (1990)}
{title: Thin Line Between Love and Hate, A, year: (1996)}
{title: Last Supper, The, year: (1995)}
{title: Primal Fear, year: (1996)}
{title: Rude, year: (1995)}
{title: Carried Away, year: (1996)}
{title: All Dogs Go to Heaven 2, year: (1996)}
{title: Land and Freedom (Tierra y libertad), year: (1995)}
{title: Denise Calls Up, year: (1995)}
{title: Theodore Rex, year: (1995)}
{title: Family Thing, A, year: (1996)}
{title: Frisk, year: (1995)}
{title: Sgt. Bilko, year: (1996)}
{title: Jack and Sarah, year: (1995)}
{title: Girl 6, year: (1996)}
{title: Diabolique, year: (1996)}
{title: Little Indian, Big City (Un indien dans la ville), year: (1994)}
{title: Roula, year: (1995)}
{title: Peanuts - Die Bank zahlt alles, year: (1996)}
{title: Happy Weekend, year: (1996)}
{title: Nelly & Monsieur Arnaud, year: (1995)}
{title: Courage Under Fire, year: (1996)}
{title: Mission: Impossible, year: (1996)}
{title: Cold Fever (Á köldum klaka), year: (1995)}
{title: Moll Flanders, year: (1996)}
{title: Superweib, Das, year: (1996)}
{title: 301, 302 (a.k.a. 301/302), year: (1995)}
{title: Dragonheart, year: (1996)}
{title: Und keiner weint mir nach, year: (1996)}
{title: My Mother's Courage (Mutters Courage), year: (1995)}
{title: Eddie, year: (1996)}
{title: Yankee Zulu, year: (1994)}
{title: Billy's Holiday, year: (1995)}
{title: Purple Noon (Plein soleil), year: (1960)}
{title: August, year: (1996)}
{title: James and the Giant Peach, year: (1996)}
{title: Fear, year: (1996)}
{title: Kids in the Hall: Brain Candy, year: (1996)}
{title: Faithful, year: (1996)}
{title: Underground, year: (1995)}
{title: All Things Fair (Lust och fägring stor), year: (1995)}
{title: Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite), year: (1996)}
{title: Pather Panchali, year: (1955)}
{title: World of Apu, The (Apur Sansar), year: (1959)}
{title: Mystery Science Theater 3000: The Movie, year: (1996)}
{title: Tarantella, year: (1995)}
{title: Space Jam, year: (1996)}
{title: Barbarella, year: (1968)}
{title: Hostile Intentions, year: (1994)}
{title: They Bite, year: (1996)}
{title: Some Folks Call It a Sling Blade, year: (1993)}
{title: Run of the Country, The, year: (1995)}
